book_title,book_author,publisher
Opening of the Eye of New Awareness,"H.H. the Dalai Lama, translated by Donald S. Lopez with Jeffrey Hopkins","['Wisdom Publication London, 1985']"
Opening the Mind and Generating a Good Heart,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 1985']"
"Kindness, Clarity and Insight","H.H. the Dalai Lama, translated and edited by Jeffery Hopkins","['Snow Lion Publication, Ithaca, 1984']"
Advice from Buddha Shakyamuni,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 1982']"
Four Essential Buddhist Commentaries,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 1982']"
Deity Yoga,"H.H. the Dalai Lama, Tshongkhapa and Jeffrey Hopkins","['Snow Lion Publications, Ithaca, 1981']"
Universal Responsibility and the Good Heart,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 1977']"
The Buddhism of Tibet and the Key to the Middle Way,"H.H. the Dalai Lama, translated by Jeffrey Hopkins, Lati Rinpoche and Anne Carolyn Klein","['Wisdom Publication, London, 1975']"
The Opening of the Wisdom Eye,H.H. the Dalai Lama,"['The Theosophical Publishing House, Illinois, 1966']"
My Land and My People,H.H. the Dalai Lama,"['Potala Publications, New York, 1962']"
